,index,tweet,id,lang,score,argumentative,evidence,claim,procon,arg_type,evidence_type
0,2145,"Hindus must do one thing,just stop eating halal meat 90percent of meat shops will be automatically close.   #meatban",1.5113046247160259e+18,en,0.6176649332046509,0,0.0,0.0,0.0,,
1,1743,<MENTION> You can put full stop for eating meat. Good for health,1.5115742230256722e+18,en,0.6566377878189087,0,0.0,0.0,0.0,,
2,16679,"<MENTION> Plenty of fruits and vegetables to choose from.

Who knows… It needn’t be organic.",1.511516926123643e+18,en,0.6372763514518738,0,0.0,0.0,0.0,,
3,6847,Dear <MENTION> we are getting 2 tax invoices from <MENTION> with mentioning your GST no. And they are denying to add my GST in that same invoice. Request your kind attention please invoice no. 2100095200001809 n 2100095220000272 <MENTION>,1.5115855563454628e+18,en,0.0,0,0.0,0.0,0.0,,
4,22616,"<MENTION> <MENTION> Haha they taste too good to leave, I promise! 😂 I’ve been perfecting the sugar cookie recipe so they’re soft and not too crunchy!",1.5116581411587113e+18,en,0.0,0,0.0,0.0,0.0,,
5,26182,<MENTION> <MENTION> <MENTION> <MENTION> amou bestie,1.5119994347621622e+18,en,0.0,0,0.0,0.0,0.0,,
6,30886,<MENTION> I sure hope they include the significant environmental benefits of eating a plant-based diet. 🌱,1.50925305594615e+18,en,0.62995845079422,0,0.0,0.0,0.0,,
7,16191,"<MENTION> <MENTION> <MENTION> An ethical commitment to not kill and eat animals, or to avoid systems that do, is separate (in principle) from how vegan diets impact the biosphere. Non-consumption of flesh is a stand alone commitment. 

That said, I agree that there are larger, more ecological issues at stake.",1.5095976716227912e+18,en,0.5627504587173462,0,0.0,0.0,0.0,,
8,25846,I’m such a bad vegetarian all I do is want meat on JAH,1.511847439719932e+18,en,0.5846090912818909,0,0.0,0.0,0.0,,
9,30385,<MENTION> I am with you on this. Must be insanity to go to a plant based diet and then crave meat so much you fake it.,1.5110792597289165e+18,en,0.5569896697998047,0,0.0,0.0,0.0,,
10,1638,"<MENTION> <MENTION> Tell me when someone is sick, what is the immediate suggestion from any doctor - stop meat! On top of that these days meat farming is extremely chemical, unnatural &amp; unhygienic as hell",1.5116545324339118e+18,en,0.538998544216156,0,0.0,0.0,0.0,,
11,30583,"<MENTION> It's up to 'we the people' to come together and demand changes/implemented these changes ourselves because our government has failed us. Transition to a plant based diet. If you can, grow your own food and save water. Work within your community to implement these changes.",1.5103766521860014e+18,en,0.0,0,0.0,0.0,0.0,,
12,20591,<MENTION> <MENTION> <MENTION> <MENTION> You are right. There isn’t a huge decrease in demand for meat and dairy. However big changes are coming. Veganism has never been talked about as much as it has in the last couple years. The pandemic highlighted a lot of flaws in humanity and people had time to reflect and watch,1.5117886651393393e+18,en,0.5916304588317871,0,0.0,0.0,0.0,,
13,12310,"<MENTION> <MENTION> <MENTION> <MENTION> 2. Much of the ⬆️ in production is driven by area expansion rather than productivity, which is not sustainable growth. On food sec. I think we need to look beyond maize and support other crops, livestock, poultry &amp; fisheries to diversify food production &amp; improve nutrition",1.5116932989556613e+18,en,0.0,0,0.0,0.0,0.0,,
14,7573,"<MENTION> Walahi 😂 
Event planner plus hall na like 4 million 
And them never add food and drinks 

love don’t a dime na Fortune ee cost 🌚",1.5119491561301115e+18,en,0.0,0,0.0,0.0,0.0,,
15,20446,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> You know there are Bible verses that support veganism, right? Or are we selective in the verses by which we live?",1.5118667772816998e+18,en,0.0,0,0.0,0.0,0.0,,
16,21079,"<MENTION> <MENTION> <MENTION> <MENTION> Nah, yall just give too much of a fuck what other people eating. Some people do veganism due to allergies, digestion issues, etc. and many still wish they could eat meat but can’t. Let them find the methods to enjoy what they want while being vegan. Why tf it matter to yall?",1.5113961701023662e+18,en,0.6769693493843079,0,0.0,0.0,0.0,,
17,3463,<MENTION> <MENTION> <MENTION> <MENTION> The Halal boycott will have an impact on the sales of poor meat sellers we must increase our meat consumption and reduce vegetables and fruits ideally the carnivore diet is way better then a high carb one .,1.51058650996736e+18,en,0.5744678974151611,0,0.0,0.0,0.0,,
18,12720,"<MENTION> Whelp. Reading this thread, y’all are right and y’all are wrong. We need to change the paradigm that industrial ag is the saviour and answer. We need to reduce food miles, bring production local, start reducing the reliance on export/import.  /1",1.5111650848312648e+18,en,0.5246211290359497,0,0.0,0.0,0.0,,
19,13012,"<MENTION> <MENTION> <MENTION> While I support meat eating, I also think, meat should not be primary food for human anymore as there are alternatives, easier to eat ( faster to eat and digest, saving time). Meat requires lot of time to cook than other alternatives. ( My one of the main reasons for meat ban)",1.5116676669727375e+18,en,0.6750636696815491,0,0.0,0.0,0.0,,
20,1946,"<MENTION> High time people stop putting other religions down to promote oneself.

All we got to do is promote jataka meat ..

Let the person eating decide i am sure market will adjust accordingly.",1.5114165034757038e+18,en,0.0,0,0.0,0.0,0.0,,
21,28934,<MENTION> People have been eating meat and owning property since the stone age.  It’s sustainable.,1.5102045818626867e+18,en,0.5304741859436035,0,0.0,0.0,0.0,,
22,30353,"<MENTION> Unfortunately in too many cases, patients that want a plant based diet have significant health problems caused by that diet",1.5111469623218176e+18,en,0.6426962614059448,0,0.0,0.0,0.0,,
